head	relation	tail	head_type	tail_type
ENSG00000117713	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000117713	annotated_with	GO:0006338	Gene	GO
ENSG00000120833	involved_in	R-HSA-9607240	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-6811558	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1963640	Gene	Pathway
ENSG00000158458	annotated_with	GO:0007165	Gene	GO
ENSG00000158458	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1236394	Gene	Pathway
ENSG00000158458	annotated_with	GO:0051897	Gene	GO
ENSG00000158458	involved_in	R-HSA-9006925	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-2219528	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-5684996	Gene	Pathway
ENSG00000158458	annotated_with	GO:0000165	Gene	GO
ENSG00000158458	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-5663202	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-5673001	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-9665686	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-9006927	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1227990	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-9006934	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1250347	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-2219530	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-9664565	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1227986	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-8848021	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-1257604	Gene	Pathway
ENSG00000158458	involved_in	R-HSA-199418	Gene	Pathway
ENSG00000181790	annotated_with	GO:0007165	Gene	GO
ENSG00000181790	annotated_with	GO:0008285	Gene	GO
ENSG00000111328	annotated_with	GO:0001934	Gene	GO
ENSG00000196090	annotated_with	GO:0007165	Gene	GO
ENSG00000111249	annotated_with	GO:0010628	Gene	GO
ENSG00000184557	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000184557	involved_in	R-HSA-9006927	Gene	Pathway
ENSG00000184557	involved_in	R-HSA-8848021	Gene	Pathway
ENSG00000170677	involved_in	R-HSA-9607240	Gene	Pathway
ENSG00000115944	involved_in	R-HSA-73857	Gene	Pathway
ENSG00000115944	involved_in	R-HSA-3700989	Gene	Pathway
ENSG00000115944	involved_in	R-HSA-212436	Gene	Pathway
ENSG00000115944	involved_in	R-HSA-74160	Gene	Pathway
ENSG00000004777	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000158560	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000158560	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000122966	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000130287	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000167083	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000167083	involved_in	R-HSA-8939211	Gene	Pathway
ENSG00000167083	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000167083	involved_in	R-HSA-9009391	Gene	Pathway
ENSG00000167083	involved_in	R-HSA-9006931	Gene	Pathway
ENSG00000149798	involved_in	R-HSA-5683057	Gene	Pathway
ENSG00000149798	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000169248	annotated_with	GO:0007165	Gene	GO
ENSG00000169248	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000131264	annotated_with	GO:0009887	Gene	GO
ENSG00000099204	annotated_with	GO:0009887	Gene	GO
ENSG00000107404	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000107404	involved_in	R-HSA-1643685	Gene	Pathway
ENSG00000004975	annotated_with	GO:0001934	Gene	GO
ENSG00000004975	involved_in	R-HSA-162582	Gene	Pathway
ENSG00000004975	involved_in	R-HSA-1643685	Gene	Pathway
